City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,afaahiti,-17.75,-149.2833,298.74,86,100,8.49,PF,1702009394
84,sitka,57.0531,-135.33,276.09,87,40,3.6,US,1701994887
85,dunedin,-45.8742,170.5036,288.47,71,100,4.42,NZ,1702023434
86,xinyuan,37.3,99.0,273.47,12,0,6.98,CN,1702029982
87,hamilton,39.1834,-84.5333,282.58,63,100,4.12,US,1701987316
88,nemuro,43.3236,145.575,276.81,52,22,11.27,JP,1702017727
89,shahpur,16.7,76.8333,297.2,66,50,2.87,IN,1702037967
90,yiyang,28.5892,112.3283,295.39,27,58,3.89,CN,1702028043
91,murzuq,25.9155,13.9184,284.72,55,0,4.08,LY,1702052004
92,ribeira grande,38.5167,-28.7,293.02,95,100,10.73,PT,1702060429
93,riolandia,-19.9808,-49.6819,297.9,69,46,4.14,BR,1702072172
94,lorengau,-2.0226,147.2712,300.36,83,100,5.47,PG,1702022975
95,college,64.8569,-147.8028,254.51,81,75,0.0,US,1701992981
96,prado,-17.3411,-39.2208,297.05,90,27,3.57,BR,1702069357
97,boguchany,58.3814,97.4531,243.16,87,61,1.12,RU,1702024824
98,gariaband,20.635,82.0614,294.61,80,49,0.54,IN,1702036275
99,hawaiian paradise park,19.5933,-154.9731,297.88,86,75,3.6,US,1702006876
100,badger,64.8,-147.5333,255.02,82,40,0.0,US,1701992974
101,olonkinbyen,70.9221,-8.7187,269.92,75,87,5.11,SJ,0
102,sur,22.5667,59.5289,296.62,45,0,1.04,OM,1702041460
103,tual,-5.6667,132.75,302.16,70,96,1.78,ID,1702026830
104,hermanus,-34.4187,19.2345,291.24,85,8,3.26,ZA,1702057561
105,ushuaia,-54.8,-68.3,279.96,86,0,8.05,AR,1702083510
106,gualan,15.1333,-89.3667,295.37,97,98,0.92,GT,1701991615
107,kingston,17.997,-76.7936,300.68,76,20,1.54,JM,1701988287
108,okhotsk,59.3833,143.3,270.47,93,100,20.16,RU,1702013342
109,winfield,37.2398,-96.9956,288.2,75,0,6.69,US,1701990630
110,isafjordur,66.0755,-23.124,270.41,79,55,3.42,IS,1702047950
111,awjilah,29.1081,21.2869,286.28,75,0,6.91,LY,1702049827
112,hithadhoo,-0.6,73.0833,301.16,76,96,4.06,MV,1702040643
113,metlili chaamba,32.2667,3.6333,284.67,54,0,0.0,DZ,1702053633
114,westport,41.1415,-73.3579,276.05,82,0,2.06,US,1701984288
115,swakopmund,-22.6833,14.5333,289.25,89,4,0.45,NA,1702057075
116,san pedro,14.35,121.0167,304.72,71,20,5.36,PH,1702027613
117,pacific grove,36.6177,-121.9166,284.97,89,40,0.89,US,1701996711
118,carloforte,39.145,8.3058,286.77,76,76,4.78,IT,1702051441
119,muli,2.9167,73.5667,300.83,81,100,8.94,MV,1702040175
120,vilyuchinsk,52.9306,158.4028,270.3,81,100,2.33,RU,1702012270
121,haiku-pauwela,20.9219,-156.3051,298.17,71,40,2.57,US,1702007045
122,trairi,-3.2778,-39.2689,299.57,79,57,4.25,BR,1702067886
123,tamalpais valley,37.8796,-122.5458,285.13,83,3,0.45,US,1701996658
124,cockburn town,21.4612,-71.1419,298.22,70,100,7.74,TC,1701986541
125,carnarvon,-24.8667,113.6333,298.0,50,0,9.01,AU,1702033551
126,petatlan,17.5167,-101.2667,297.53,78,10,1.42,MX,1701994214
127,kone,-21.0595,164.8658,300.29,56,100,4.27,NC,1702020785
128,lethem,3.3803,-59.7968,298.71,81,100,4.56,GY,1701985721
129,watertown,42.3709,-71.1828,272.07,72,0,4.12,US,1701983536
130,longyearbyen,78.2186,15.6401,272.06,69,20,5.66,SJ,0
131,fernie,49.5,-115.0687,274.26,98,100,2.07,CA,1701992486
132,zaragoza,41.6561,-0.8773,282.05,80,100,2.06,ES,1702053195
133,constantia,44.1833,28.65,273.54,85,100,7.62,RO,1702045613
134,lapinlahti,65.5833,30.5667,253.87,100,100,1.42,RU,1702035716
135,muscat,23.6139,58.5922,291.16,35,0,0.47,OM,1702041561
136,la cruz,23.9167,-106.9,293.99,66,0,2.21,MX,1701994837
137,nimbahera,24.6167,74.6833,292.97,54,0,1.59,IN,1702037578
138,tazovsky,67.4667,78.7,245.29,93,7,5.33,RU,1702021058
139,alofi,-19.0595,-169.9187,303.09,66,75,5.14,NU,1702014497
140,puerto baquerizo moreno,-0.9,-89.6,297.05,89,58,4.23,EC,1701993303
141,sao vicente,-23.9631,-46.3919,302.74,26,100,1.36,BR,1702071862
142,knyaze-volkonskoye,48.4642,135.4567,261.34,84,88,3.13,RU,1702019018
143,vernon,50.2581,-119.2691,276.82,89,100,0.0,CA,1701993293
144,santana,-0.0583,-51.1817,301.25,83,40,4.12,BR,1702070422
145,uturoa,-16.7333,-151.4333,299.93,80,50,3.32,PF,1702009796
146,ocean shores,46.9737,-124.1563,282.01,84,75,2.68,US,1701995285
147,nabire,-3.3667,135.4833,304.09,64,65,2.16,ID,1702025941
148,tura,25.5198,90.2201,292.96,78,70,1.57,IN,1702033738
149,northam,51.0333,-4.2167,285.74,93,30,9.02,GB,1702051855
150,baiyin,36.5583,104.2081,279.19,20,99,1.37,CN,1702028851
151,new norfolk,-42.7826,147.0587,292.43,42,90,2.17,AU,1702028377
152,saudarkrokur,65.7461,-19.6394,266.03,78,5,3.3,IS,1702047548
